Date/Time,Media Description,Media Link
"You uploaded a feed document on June 11, 2024 at 4:15 AM (GMT)","? Exciting News! ?

I'm thrilled to announce that I have successfully completed the Tech Bootcamp/Live Industry Project with Employability Advantage, led by industry experts.

 This journey has been incredibly rewarding, and I'm grateful for the opportunity to grow and learn alongside such talented professionals.

 During this program, I gained hands-on experience and developed a robust set of technical skills, including AWS DevOps tools, Building & Deploying applications, scripting and Agile software development.

 This experience has been transformative, pushing me to take risks and step out of my comfort zone, ultimately preparing me for the dynamic challenges of the tech industry.

 I want to extend my heartfelt thanks to Callum and the entire team at Employability Advantage for their guidance and support throughout this journey.

 I'm excited to add my Completion Certificate to my resume and LinkedIn profile.

 Feel free to check it out and connect with me!
ECA Internships 

#TechBootcamp #LiveIndustryProject #EmployabilityAdvantage #TechSkills #CareerGrowth #Certification",https://media.licdn.com/dms/document/media/v2/D561FAQFPZiqGk_2JtA/feedshare-document-url-metadata-scrapper-pdf/feedshare-document-url-metadata-scrapper-pdf/0/1718079348676?e=1757584800&v=beta&t=U2g7G9rpeiyvvg8Qw7zc3kgBr992uu4cHZluqbiWvdE
"You uploaded a feed photo on April 21, 2024 at 9:06 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQEoyI4xWHPO5Q/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1713690380656?e=1759968000&v=beta&t=AhvY69ou7vaUpYPA6JiNLEngzx76U_t4j5NbFMDGuVk
"You uploaded a profile background photo on March 10, 2024 at 6:35 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5616AQGvcH1tY7q1qg/profile-displaybackgroundimage-shrink_200_800/profile-displaybackgroundimage-shrink_200_800/0/1710052557910?e=1759968000&v=beta&t=Fw7mUVMGZ-paMfV9KyI2kQbdIFniO1oc7E-_OUdGplI
"You uploaded a profile background photo on March 10, 2024 at 6:35 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5604AQFOizZcY0GM5Q/profile-originalbackgroundimage-shrink_396_1584/profile-originalbackgroundimage-shrink_396_1584/0/1710052556878?e=1759968000&v=beta&t=tsNH6nwZWxqJPd_nJvSWP_Zd7WUFE06WlWBA7UShJAs
"You uploaded a feed photo on March 10, 2024 at 6:05 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQES5Pbzxe71Ug/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1710050734087?e=1759968000&v=beta&t=M9VJJU0wBxXAMA7qqXSzXPJ6jMeKPrdKk3svAAxyv38
"You uploaded a feed photo on February 27, 2024 at 10:04 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQEN9aldBp6r_A/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1709028260509?e=1759968000&v=beta&t=Ye2Ukyt-HrMqdeUQykLHsqYbolnmWtqsx_Xq0prz3Zk
"You uploaded a feed photo on February 24, 2024 at 10:50 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQGLtwh2Q3PnXA/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1708815025874?e=1759968000&v=beta&t=uDmLIDuLc7zUaPSegr8aS-Ou7wV5IL3ITzNPTHThjsM
"You uploaded a photo on February 24, 2024 at 10:49 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D562DAQHeZNZowmSkzA/profile-treasury-image-shrink_8192_8192/profile-treasury-image-shrink_8192_8192/0/1708814969741?e=1757584800&v=beta&t=Y56kc7RES3Gzoa99dR2Lqw5Ttuapkn9hfFj7AcgLEGI
"You uploaded a photo on February 24, 2024 at 10:48 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D562DAQEZ-zNO836bpQ/profile-treasury-image-shrink_8192_8192/profile-treasury-image-shrink_8192_8192/0/1708814935488?e=1757584800&v=beta&t=wHbGcAG5pu5i9Qh5oYRJZFyYN01fXiDTy-KsNSX3BPA
"You uploaded a feed photo on February 4, 2024 at 9:45 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQGeAQNJwi3u2Q/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1707039932730?e=1759968000&v=beta&t=WElPtWOpbriKI6M9JHXQP8MA17c_eNR_kZV4wCdyrbI
